id	specialty	type
955	Acupuncture	MD
956	Pathology	MD
208	"Internal Medicine: Geriatric Medicine"	MD
2015	"Podiatric: Foot Surgery"	DPM
216	"Internal Medicine: Sports Medicine"	MD
303	"Obstetrics And Gynecology: Maternal & Fetal Medicine"	MD
400	"Orthopaedic Surgery"	MD
450	Otolaryngology	MD
554	"Pediatrics: Medical Toxicology"	MD
561	"Pediatrics: Gastroenterology"	MD
563	"Pediatrics: Infectious Diseases"	MD
565	"Pediatrics: Pulmonology"	MD
601	"Physical Medicine & Rehabilitation: Pain Management"	MD
650	"Plastic Surgery"	MD
704	"Preventive Medicine: Medical Toxicology"	MD
754	"Psychiatry & Neurology: Child & Adolescent Psychiatry"	MD
756	"Psychiatry & Neurology: Forensic Psychiatry"	MD
758	"Psychiatry & Neurology: Neurodevelopmental Disabilities"	MD
801	"Radiology: Diagnostic Radiology"	MD
806	"Radiology: Pediatric Radiology"	MD
851	"Surgery: General Vascular Surgery"	MD
853	"Surgery: Surgery Of The Hand"	MD
10	"Cardiovascular Diseases"	MD
19	"Dermatological Immunology: Diagnostic Laboratory Immunology"	MD
26	"Family Practice"	MD
27	"Family Practice: Geriatric Medicine"	MD
29	Gastroenterology	MD
30	"Allergy And Immunology"	MD
32	"Gynecological Oncology"	MD
34	Hematology	MD
49	"Neonatal/Perinatal Medicine"	MD
52	"Anesthesiology: Pain Management"	MD
69	"Orthopaedic Surgery: Adult Reconstructive Orthopaedics"	MD
75	"Orthopaedic Surgery: Trauma"	MD
83	"Pathology: Clinical"	MD
86	"Pathology: Hematology"	MD
88	"Pathology: Neuropathology"	MD
90	"Pathology: Radioisotopic"	MD
92	"Pediatrics: Allergy"	MD
93	"Pediatrics: Cardiology"	MD
99	"Pediatrics: Hematology/Oncology"	MD
1011	"Dermatology: Mohs-Micrographic Surgery"	DO
1044	"Neurology: Child/Adolescent Neurology"	DO
