license_no	public_title	public_journal	public_html	public_volume	public_date
101013944	"Images in Reprodutive Medicine"	"Fertility and Sterility"		80	200307
101013944	"Mentoring - Establishing a Program"	"Obstetrical and Gynecological Survey"		61	200611
101013944	"Professional Liability: Not Just Caps on Indemnity"	"Obstetrical and Gynecological Survey"		60	200509
101013944	"Sudden Death: Ectopic Pregnancy Mortality"	"Obstetrics and Gynecology"		103	200406
101013944	"The Mentor-Mentee Relationship"	"Obstetrical and Gynecological Survey"		58	200308
101013980	none				200101
101014050	"Modeling potental responses to smallpox as a bioterrorist weapon"	"Journal of infectious Diseases"		"7,no.6:"	200111
101014050	"Reflections on the 1976 Swine Flu Vaccination Program"	"Journal of Emerging Infectious Diseases"	www.cdc.gov/ncidid/EID/vol12no1/05-1007	"Vol. 12, No. 1, Jamuary 1, 2006"	201001
101014050	"Review of Legionnaire's Disease"	AIHAJ		61:738-42	200009
101014050	"The Transformation of Public Health"	"Regulation (Cato Institute)"		24(4):57-60	200101
101014417	".     Development and pre-clinical analysis of a Plasmodium falciparum Merozoite Surface Protein-1(42) malaria vaccine"	"Mol Biochem Parasitol"		128	200305
101014417	"Strength in unity"	Nature	www.nature.com/cgi-taf/DynaPage.taf?file=/nature/journal/v430/n7002/full/430938a_fs.html	430	200408
101014417	"Update on the clinical development of candidate malaria vaccines"	"Am J Trop Med Hyg"	www.ajtmh.org/cgi/reprint/71/2_suppl/239	"71 (suppl)"	200408
101014698	none				200601
101015022	"multiple hamartomata"	thorax		"21, no 5"	200311
101015813	"CV on Request"				201208
101015898	"Childhood and Infant Gliomas"	"Textbook of Gliomas"			199801
101015898	"Complex Cranioplasty for Sagittal Synostosis"	"Journal of Neurosurgery"		85	199601
101015898	"Intracranial Neurologic Injuries with Orbital Fractures"	"Pediatric Neurosurgery"		26	199701
101015898	"Metopic Synostosis"	"Atlas of Pediatric Neurosurgery"		I	199601
101015898	"Metopic Synostosis Repair"	"Pediatric Neurosurgery"		IV	200102
101015898	"The Enigma of Positional Lambdoid Molding"	"Pediatric Neurosurgery"		26	199701
101016155	"Application of Immunohistochemistry to South American Mummies"	Histopathology		41	200210
101016155	"Application of Immunohistochemistry to South American Mummies. "				200701
101016339	none				200601
101016446	"Cocain-Associated Ischemic Colitis.  "	"Southern Medical Journal "		93:909-913	200001
101016446	"Flexible endoscopic evaluation of swallowing with sensory testing (FEESST) to diagnose and manage patients with pharyngeal dysphagia.  "	"Practical Gastroenterology "		24:52-59	200001
101016446	"Intramural tracking: a feature of esophageal intramural pseudodiverticulosis.   "	"American Journal of Roentgenology"		"175(2):371-4. "	200008
101016446	"Proximal migration of esophageal acid perfusions during waking and sleep."	"American Journal of Gastroenterology "		95(1):37-42	200001
101016446	"Responses to Different Levels of Esophageal Acidification during Waking and Sleep.  "	"Digestive Diseases and Sciences "		43:241-245.	199801
101016446	"What is Heartburn Worth?  A Cost-Utility Analysis of Management Strategies.  "	"Journal of General Internal Medicine "		"15:175-182. "	200001
101016598	"Epidemiology and etiology of multiple sclerosis"	"Phys Med Rehab Clin N Am"		"16: 327-349"	200505
101016598	"Epidemiology of multiple sclerosis in US veterans: VIII. Long-term survival after onset of multiple sclerosis."	Brain		"123: 1677-1687"	200001
101016598	"Epidemiologyof multiple sclerosis. Does this really point toward an etiology? Lectio Doctoralis."	"Neurol Sci"		"21: 383-403"	200001
101016598	"Further considerations on the distribution of multiple sclerosis in Sweden"	"Acta Neurol Scand"		"111: 238-246"	200501
101016598	"Multiple sclerosi in United States veterans of Vietnam era and later military service. 1. race, sex and geography."	"Ann Neurol"		"55: 63-71"	200401
101016598	"Multiple sclerosis in the Faroe Islands: An epitome"	"J Clin Epidemiol"		"54: 1-22"	200101
101016598	"Neurocysticercosis in the United States: Review of an important emerging infection"	Neurology		"63: 1559-1564"	200401
101016598	"Neuroepidemiology. From principles to practice (bok review)"	"Ann Neurol"		"56: 752"	200401
101016598	"No creative medical science without humor."	"J Clin Epidemiol"		"35: 1214-1217"	200201
101016598	"UNruptured intracranial aneurysms: natural history, clinical outcome, and risks of surgical and endovascular treatment."	Lancet		"362: 103-110"	200301
101016602	"Human resting muscle tone"	"journal of Bodywork and Movement Therapy"			200905
101016602	"Our Internal Universe"	"Journal of Motor Behavior"			201401
101016602	"The scapula is a sesemiod bone"	Biomechanics		38	200508
101016602	"The tensegrity-truss as a model for spine biomechanics: Biotensegrity"	"Mechanics in Medicine and Biology"		"2/3&4 375-387"	200209
101016602	"Triggered ,nanostructured biodegradables for surgical implants"	"Micro and Nanotechnology"			201101
101016856	"A novel technique for localization and excisional biopsy of small or ill-defined pulmonary lesions"	"Annals of Thoracic Surgery"	ats.ctsnetjournals.org	"77:1756-62, 2004"	200405
101016856	"A proposed diagnostic approach to the patient with the subcentimeter nodule: Techniques that facilitate VATS excision. "	"Seminars in Thoracic and Cardiovascular Surgery"	ctsnetjournals.com	17/2:115-122	200506
101016856	"Clinical Experience with radiotracer-Guided Thoracoscopic Biopsy of Small, Indeterminate Lung Nodules"	"Annals Of Thoracic Surgery"	ctsnetjournals.com	82:1191-1197	200610
101016856	"Pulmonary segmentectomy: Results and complications"	"Annals of Thoracic Surgery"	ats.ctsnetjournals.org	"76:343-9,2003"	200305
101016884	"A Gentically defined model for Ovarian Cancer"	"Cancer Res"		64(5):1655-1663	200403
101016884	"Acute Myeloid Leukemia with t(6;9) ------"	"Am J Clin Path"		122(3):348-358	200409
101016884	"Chromosomal Aneusomy in Nipple Aspirates-----"	Cancer		102(5):322-327	200410
101016884	"Expression of CD2 in AML------"	"Am J CLin Path"		121(3):413-407	200403
101016884	"Imatinib Mesylate Therapy ------"	Blood		"Nov.30,2004"	200411
101016884	"Imatinib Therapy in variant CML"	"Br J Hemat"		125(2):187-95	200404
101016884	"Secondary Chromosomal Aberrations in CML"	"Cancer Genetics & Cytogenetics"		153(1):53-56	200408
101016884	"t(8;21) in blast crisis of CML"	"Am J Clin Path"		121(6):836-42	200406
101016884	"Tranlocation(11;16)(q23;p13)AML & MDS"	"Ann Clin Lab Sci"		33(3):285-288	200306
101016977	"Recovery from near death following cerebral anoxia"	Resuscitation		"In press"	200301
101016977	"The role of evoked potentials in anoxic-ischemic coma"	"J. Clin Neurophysiol"		17	200109
101017284	"Arthroscopic Debridement for the Treatment of Osteoarthritis of the Knee: Two and Five Year Results"	"The Journal of Arthoroscopic and Related Surgery"		"Volume 18, No. 8"	200210
101017284	"Elbow Instability "	"Sports Medicine. Just the Facts"		"Chapter 49: pages 291-293"	200505
101017284	"Elbow Tendinopathy: Tennis Elbow"	"Clinics in Sports Medicine"		"Volume 22: p 813-836 "	200301
101017284	"Elbow Tendinosis"	"SportsMedicine - Just the Facts"		"Chapter 51: pages 297-299"	200505
101017284	"Internal Impingement in The Etiology of Rotator Cuff Tendinosis Revisited"	"Arthroscopy: The Journal of Arthroscopic and Related Surgery"		"Volume 19 (8): P 810-814 "	200310
101017284	"Iontophoretic Administration of Dexamethasone Sodium Phosphate for Acute Epicondylitis"	"American Journal of Sports Medicine"		"31 (2) Pages 189-195"	200304
101017284	"Managing Sports Injuries of the Elbow"	"The Journal of Musculosketetal Medicine"		"Volume 20: Pages 324-334 "	200307
101017284	"Medial Epicondylitis        Lateral Epicondylitis"	"Masters Techniques in Orthopaedic Surgery"		"Chapter 13. Pages 217-288      Chapter 12. Pages 205-216"	200205
101017284	"Rotator Cuff Surgery without Acromioplasty"	"Arthroscopy Association of North America Newsletter"		"Vol. 18 (1)"	200203
101017284	"Surgical Considerations of Ankle Injuries"	"Textbook of Running Medicine: O'Connor, Wilder"		"McGraw Hill, Chapter 54"	200301
101017303	":  A selective cytopheretic inhibitory device to treat the immunological dysregulation of acute and chronic renal failure."	"Blood Purif. 2010;29(2):183-90. Epub 2010 Jan 8."			201001
101017418	"Incidence and Demography of Obesity - Book Chapter"	"Published in book ""Surgical Management of Obesity"""		"WB Saunders"	200401
101017529	"., ""Reflections on the Success of Hospital Ethics Committees in my Health System"	"HEC Forum"		"18, #4"	200612
101017529	"., ""Reflections on the Success of Hospital Ethics Committees in my Health System"""	"HEC Forum"		"Vol 18 #4"	200612
101017689	"Intermittent Occlusion of the Popliteal Vein "	"Journal of Bone & Joint Surgery"	www.jbjs.org	"84-A No. 9"	200209
101017749	"Erythema marginaturn and hereditary angioedema"	"South Med J."		97(10):948-50	200410
101017749	"Retinitis pigmentosa and hypogammaglobulinemia"	"Soth Med J."		99(9):989-91	200609
101017777	"Imipramine in the treatment of Enuresis"	"American Journal of Disease of Children"		"May 1965"	199901
101017814	"He Should Have Been a Panda"	"American Journal of Psychiatry"		157	200012
101017915	"Augments and Allografts in Revision Total Knee Arthroplasty"	Arthroplasty		20	200501
101017915	"Factors Associated with Tibial Polyethyelene Wear in Total Knee Arthroplasty"	Arthroplasty		"19 #2"	200402
101017915	"Rapid Polyethyelene Failure of Unicondylar Tibial Components Sterilized with Gamma Irradiation in Air"	"Bone and Joint Surgery"		84-A	200206
101017915	"Retained Cement after Unicondylar Arthroplasty"	"of Bone and Joint Surgery"		86-A	200410
101017915	"Shelf Age of the Polyethylene Tibial Component and Outcome of Unicondylar Knee Arthroplasty"	"Bone and Joint Surgery"		86-A	200404
101017915	"Synovial Entrapment: A Complication of Posterior Stabilized Total Knee Arthroplasty"	"Bone and Joint Surgery"		84-A	200212
101017915	"The Effect of Alignment of the Knee on the Outcome of Unicondylar Knee Replacement"	"Bone and Joint Surgery"		84-B	200204
101017915	"Tibial Interface Wear in Retrieved Total Knee Components"	"Bone and Joint Surgery"		84-A	200210
101018020	"It's Not Just The Hospital Anymore"	"Current Infectious Disease Reports"		5:277-278	200501
101018021	"Atypical Glandular Cells of Undetermined Significance: Subtyping as a Predictor of Outcome"	"The Journal of Reproductive Medicine"	www.reproductivemedicine.com	46	200108
101018093	"Body Donor Study of Ectopic and Traditional Reservoir Placement"	VJPU		"1: 012"	201301
101018093	"Crossover of Cylinders "	VJPU		"1; 007"	201301
101018093	"High Submuscular Placement  of Urologic Prosthetic Balloons and Reservoirs  via  Trans-Scrotal Approach"	VJPU		"1: 001"	201301
101018093	"Infection retardant coated versus non- Ocoated penile prosthesis at the time or revision/salvage surgery"	"J Urology"		"abstract 1223"	201301
101018093	"Retroperitoneal Reservoir Placement Through  a Scrotal Incision"	VJPU		"1: 001"	201301
101018093	"Setting the Wilson retractor to Maximize Exposure"	VJPU		"1: 020"	201401
101018093	"Submuscular Reservoir Placement"	"J Sex Medicine"		"10: 1672-1675"	201301
101018093	"Tunnel Technique for Insertion of Cylinders into Scarred Corporal Bodies"	VJPU		1:011	201301
101018093	"Vacuum preparation, optimization  of cylinder length and postoperative daily inflation reduces complaints of shortened penile length following implantation of inflatable penile prosthesis"	"J urology"		"Suppl abstract 1671"	201301
101018156	"A multi-institutional survey of critical diagnoses (critical values) in surgical pathology"	"Am J. Clinical Pathology"		130:731-735	200807
101018156	"Cytology of a recurent nephrogenic adenoma in a renal transplant patient"	"Diagn Cytopathol"		37	200909
101018156	"Diagnostic terminology and morphologic criteria for cytologic diagnosis of thyroid lesions: A synopsis of the National Cancer Institute Thyroid Fine-Needle Aspiration State of the Science Conference"	"Diagn Cytopathology"		36:425-437	200806
101018156	"Screening for endometrial cancer?"	"Cancer Cytopathol"		25:219-211	200804
101018187	"Over 300  publications in peer reviewed journals"				201205
101018197	"CD4 and CD8 T lymphocyte recognition of prostate specific antigen in granulomatous prostatitis"	"Journal of Immunotherapy "		"27(2): 136-46"	200401
101018197	"Differentiation between African populations is evidenced by the diversity of alleles and haplotypes of HLA class I loci"	"Tissue Antigens "		"63(4): 293-325"	200401
101018197	"Granulomatous prostatitis linked to HLA-DRB1*1501"	"The Journal of Urology"		"171 (6 Pt 1): 2326-9"	200406
101018197	"Increase in plasmacytoid and myeloid dendritic cells by progenipoietin-1, a chimeric Flt-3 and G-CSF receptor agonist, in SIV-infected rhesus macaques"	"Human Immunology "		"65: 303-316"	200401
101018197	"Molecular remission of CML after autotransplantation followed by adoptive transfer of costimulated autologous T-cells"	"Bone Marrow Transplantation"		"33(1): 53-60"	200401
101018197	"Negative impact of human leukocyte antigen matching in the outcome of polomavirus nephropathy"	Transplantation		"80(2): 276-278"	200501
101018197	"Peptide-based candidate vaccine against respiratory syncytial virus"	"Vaccine "		"23(17-18): 2261-5"	200503
101018197	"Restoration of immunity in lymphopenic individual with cancer by vaccination and adoptive T-cell transfer"	"Nature Medicine "		"11(11): 1237"	200501
101018197	"Systemic mobilization of antigen presenting cells, with a chimeric Flt-3 and G-CSF receptor agonist, during immunization of Macaca mulatta with HIV-1 antigens is insufficient to modulate immune responses or vaccine efficacy."	"Vaccine "		"23(33): 4195-4202"	200501
101018197	"Timed sequential therapy of acute leukemia with flavopiridol: In vitro model for a phase I clinical trial"	"Clinical Cancer Research"		"9: 307-315"	200301
101018199	"Hysteroscopy Image Recording Chapter 20  p261-272"			"Volume 3 Lippencott"	200701
101018199	"TeLinde's Operative Gynecology  Application of  Laser to Gynecology"	"Chapter 16, p298-318  "			200801
101018576	"Endosonography/Bile Drainage Combination For Difficult-T0-Diagnose Gallbladder Disease"	"Journal of Laporoscopic & Advanced Surgical Techniques"		"Vol 8,No. 5,pp 361-365"	199812
101018576	"Quality Of Life Outcomes Following Endoscopic Ultrasound For Dyspepsia/Unexplained Upper Abdominal Pain"	"Acta Endoscopia"		"30, 3, pp 231-235"	200006
101018576	"Symptom Resolution Or Relief Post Cholecystectomy Highly Correlated With Positive Combined Endoscopic Ultrasound And Stimulated Biliary Drainage"	Endoscopy		29	199708
101018606	"Coexistent infections on a child's distal phalanx:  blistering dactylitis and herpetic whitlow."	Cutis		69(1):46-8	200201
101018606	"Cutaneous manifestations of endocrine disorders"	"Dermatol Nurs"		13(3):185-196	200106
101018606	"Fluticasone--associated cutaneous allergic granulomatous vasculitis"	"J Drugs Dermatol"		2(3):326-9	200306
101018606	"Genetic heterogeneity in erythrokeratodermia variabilis: novel mutations in the connexin gene GJB4(Cx30.3) and geneotype-phenotype correlations."	"J Invest Dermatol"		120(4):601-9	200304
101018606	"Radiation-induced morphea occurring after flurosocopy"	"J Am Acad Dermatol"		47(6):962-4	200212
101018606	Sarcoidosis	"J A, Acad Dermatol"		44(5):725-43	200105
101018606	"Scurvy in an unrepentant carnivore"	Cutis		66(1):39-44	200007
101018659	"A Descriptive Study of an Outbreak of Clenbuterol-Containing Heron"	"Ann Emerg Med "		52	200805
101018659	"Adverse Drug Reaction Hospitalization Index: A Comparison of the Most Frequently Implicated Therapeutic Groups in Poison Data"	"Am J Health-System Pharmacy"		"2009 66(5) 481-7"	200905
101018659	"Adverse Reactions to Over-the Counter Cough and Cold Products among Children: The Cases Managed out of Hospitals"	"J Clin Pharm and Ther"		".  (2009) 33:1-6."	200901
101018659	"Curanderismo: consequences of folk medicine"	"Ped Emerg Care"		24	200804
101018659	"Evaluation of adverse drug reactions reported to a poison control center between 2000 and 2007"	"Am J of Health-System Pharmacy"		"(2009) 66(5):481-487"	200901
101018659	"Liquid Nitrogen Ingestion Followed by Gastric Perforation"	"Pediatric Emergency Care"		"(2010) 26(1)48-50"	201001
101018659	"Methadone and buprenorphine toxicity in children."	"Am J Addiction"		"(2010) 19(1) 89-95"	201001
101018659	"Poison Control Centers' Role in Glow Product-Related Outbreak Detection: Implications for a Comprehensive Surveillance System"	"Prehospital and Disaster Medicine Journal"		24	200901
101018659	"Reflections on the care of a patient severely poisoned by “rogue” botulinum toxin and rendered paralysed for a protracted hospital stay"	"The Botulinum J"		"(2009) 1(3)318-339"	201001
101018659	"The impact of a poison control center on the length of hospital stay for patients with poisoning"	"J Toxicol Environ Health, Part A"		70	200701
101018675	"Wilderness Neurology"	"Chapter 28, Co-author with Karen Nolan Kuehl"		"Paul S. Auerbach, Wilderness Medicine, 5th Edition, 2007"	200701
101018683	"  Expanding the Evidence Base for Women’s Health Across the Lifespan, "	"Journal of Dental Education"		"75(3): S11-S19"	201101
101018683	" Public partnerships for a vision for women’s health research in 2020. "	"Journal of Women's Health"		"19(9): 1603-1607"	201001
101018683	" Sex Differences in Application, Success, and Funding Rates for NIH Extramural Programs.  "	"Academic Medicine"		"86(6) 759-767"	201101
101018683	"Editorial: Women’s Health Research: Current State of the Art"	"Global Advances in  Health and Medicine"		"2(5): 8-10"	201301
101018683	"Ethics, Research, and Diversity: From Exclusion to Inclusion in Human Subject Research"	"Journal of Healthcare, Science and the Humanities,"		"III: 96-100"	201301
101018683	"From exclusion to inclusion – participation in biomedical research and the legacy of the public health syphilis study at Tuskegee."	"The Search for the ‘Legacy’ of the U.S. Public Health Syphilis Study at Tuskegee"		"1st Edition, pp 1-18"	201101
101018683	"Interdisciplinary women’s health research and career development programs"	" Changing Landscape of Academic Medicine in Women’s Healthcare. "		"1st Edition, Chapter 4, pp 53-75"	201101
101018683	"National Institutes of Health Policy on the Inclusion of Women and Minorities as Subjects in Clinical Research"	"Principles and Practice of Clinical Research"		"3rd Edition, pp. 147-159"	201201
101018683	"Proceedings from the Third National Institutes of Health International Congress on Advances in Uterine Leiomyoma Research: comprehensive review, conference summary and future recommendations."	"(Human Reproduction Update Advance Access published January 8, 2014)"		"pp 1-25"	201401
101018683	"Women’s Health in the Urban Community: National Institutes of Health Perspective.  "	"Women's Health and the World's Cities"		"1st Edition, pp. 169-187"	201101
101018732	"Surgical Palliation of the Pelvic Cancer Discard"	"The American Surgeons"			199601
101018732	"Temporay Tube Gastrostomy in the Prevention of Ileus"	"The Journal of Abdominal Surgery"			199602
101018777	"Gastric Carcinoid Associated with Achlorhydria"	"Southern Medical Journal"		"81:1595-96, 1988"	200101
101018862	NONE				200501
101019058	"HIV envelope-CXCR4 signaling activates cofilin to overcomw cortical actin restriction inresting CD4 T cells"	Cell		"134 p782-792"	200809
101019058	"Pistachio Nut Consumption and Serum Lipid Levels"	"Journal of theAmerican College of Nutrition"		26	200704
101019058	"The Utility of Radiologic Imaging in Non-Alcoholic Fatty Liver Disease"	Gastroenterology	www.gastrojournal.org	123	200201
101019145	"A PRESIDENT FOR THE MILLENNIUM."	"JOURNAL OF THE AMERICAN ACADEMY OF PSYCHIATRY AND THE LAW"		VOL.28	200001
101019145	"CHRONIC POSTTRAUMATIC STRESS DISORDER: A REVIEW AND CHECKLIST OF FACTORS INFLUENCING PROGNOSIS."	"HARVARD  REVIEW OF PSYCHAITRY"		"VOL. 6"	199901
101019145	"CONDUCTING FORENSIC EXAMINATIONS ON THE ROAD: ARE YOU PRACTICING YOUR PROFESSION WITHOUT A LICENSE?"	"JOURNAL OF THE AMERICAN ACADEMY OF PSYCHIATRY AND THE LAW"		"VOL. 27"	199901
101019145	"DEFENSIVE PSYCHIATRY AND THE DISRUPTION OF TREATMENT BOUNDARIES"	"ISRAEL JOURNAL OF PSYCHIATRY"		VOL.2	200001
101019145	"MAINTAINING TREATMENT BOUNDARIES IN SMALL COMMUNITIES AND RURAL AREAS."	"PSYCHIATRIC SERVICES"		"VOL. 50"	199901
101019145	"MANAGING MALPRACTICE LIABILITY IN MANAGED CARE SETTINGS: RISKS AND REMEDIES IN PSYCHIATRIC CARE"	"PRIMARY PSYCHIATRY"		"VOL. 6"	199801
101019145	"MURDER MASQUERADING AS SUICIDE: POST- MORTEM ASSESSMENT OF SUICIDE RISK FACTORS AT THE TIME OF DEATH."	"JOURNAL OF FORENSIC SCIENCES"		"VOL. 43"	199801
101019145	"SERIAL KILLERS, EVIL AND US."	"THE PHI KAPPA PHI JOURNAL"		"VOL. 4"	200001
101019145	"TAKING THE ""SUE"" OUT OF SUICIDE: A FORENSIC PSYCHIATRIST'S PRESPECTIVE."	"PSYCHIATRIC ANNALS"		"VOL. 6"	200001
101019145	"THE PSYCHOLOGICALLY VULNERABLE WITNESS: AN EMERGING FORENSIC CONSULTING ROLE"	"JOURNAL OF THE AMERICAN ACADEMY OF PSYCHIATRY AND THE LAW"		"VOL. 1"	200101
101019155	"Office Flowsheets Track Early Newborn-screens"	"NCE Boston AAP Meeting"	www.aap.org	"Poster presentation Technology"	201010
101019155	"Office Flowsheets Track Early Newborn-screens"	"Pediatrics in the 21st Century  Poster Presentation"	www.aap.org		201107
101019155	"The Importance of Play in Promoting Healthy Child Development and Maintaining Strong Parent-Child Bonds"	Pediatrics	www.aap.org	"VOL 119"	200701
101019192	"Aesthetic Surgery of the Aging Face"	"Grabb and Smith's Plastice Surgery, Fifth Edition"			199701
101019192	"Cosmetic Blepharoplasty, Cirguria De Rejuvenescimento Facial"	"Medisi Editoria"			199701
101019193	"Adenovirus 36 DNA in adipose tissue of patient with unusual visceral obesity. "	"Emerging Infectious Disease"		16	201005
101019193	"Adenovirus-36 is associated with obesity in children and adults in Sweden as determined by rapid ELISA."	"PLoS One. "	www-ncbi-nlm-nih-gov.proxy.library.vcu.edu/pubmed/?term=Almgren+M%2C+Atkinson+R%2C+He+J%2C+Hilding+A	"7(7):e41652. doi: 10.1371/journal.pone.0041652."	201207
101019193	"Association of elevation, urbanization and ambient temperature with obesity prevalence in the United States."	"Int J Obesity "	www-ncbi-nlm-nih-gov.proxy.library.vcu.edu/pubmed/?term=Voss+JD%2C+Masuoka+P%2C+Webber+BJ%2C+Scher+A	37(10):1407-12.	201310
101019193	"Clinical and laboratory characteristics of 1179 Czech adolescents evaluated for antibodies to human adenovirus 36."	"Int J Obes (Lond). "	www-ncbi-nlm-nih-gov.proxy.library.vcu.edu/pubmed/?term=Clinical+and+Laboratory+Characteristics+of+1	"38(2):285-91. doi: 10.1038/ijo.2013.72"	201402
101019193	"Effect of clothing weight on body weight. "	"International Journal of Obesity"		"35 (epub)"	201202
101019193	"Genomic stability of adipogenic human adenovirus 36."	"Int J Obes (Lond)."	www-ncbi-nlm-nih-gov.proxy.library.vcu.edu/pubmed/?term=Genomic+stability+of+adipogenic+human+%09ade	" 38(2):321-4. doi: 10.1038/ijo.2013.67. "	201402
101019193	"Harnessing the beneficial properties of adipogenic microbes for improving human health."	"Obes Rev."	www-ncbi-nlm-nih-gov.proxy.library.vcu.edu/pubmed/?term=Harnessing+the+beneficial+properties+of+adip	" doi: 10.1111/obr.12045. [Epub ahead of print]"	201305
101019193	"Human adenovirus-36 and childhood obesity"	"Int J Pediatr Obes. "	www-ncbi-nlm-nih-gov.proxy.library.vcu.edu/pubmed/21905809	"6 Suppl 1:2-6. doi: 10.3109/17477166.2011.590200."	201109
101019193	"Increased vegetable and fruit consumption during weight loss effort correlates with increased weight and fat loss. "	"Nutrition and Diabetes  "	www-ncbi-nlm-nih-gov.proxy.library.vcu.edu/pubmed/?term=Increased+vegetable+and+fruit+consumption+du	"2, e48; doi:10.1038/nutd.2012.22"	201210
101019193	"The efficacy and cost-effectiveness of a community weight management intervention: a randomized controlled trial of the health weight management demonstration. "	"Preventive Medicine"		54	201201
101019209	"Psychiatry Alerts NOS"				201201
101019209	"Psychiatry Drug Alerts"	"Journal Watch Psychiatry"			201201
101019256	"CHANGES OVER TIME IN THE EPIDEMIOLOGY OF DIARRHEA AND MALNUTRITION AMONG CHILDREN IN AN URBAN BRAZILLIAN SHANTYTOWN, 1989 TO 1996."	"INTERNATIONAL JOURNAL OF INFECTIOUS DISEASE"		4(4):179-186	2000
101019256	"ENTEROAGGREGATIVE ESCHERICHIA COLI EXPRESSES A NOVEL FLAGELLIN THAT CAUSES IL-8 RELEASE FROM INTESTINAL EPITHELIAL CELLS."	"JOURNAL CLINICAL INVEST"		105(12):1769-1777	2000
101019256	"ESCHERICHIA COLI INFECTIONS"	"TROPICAL INFECTIOUS DISEASES"			1999
101019256	"INTESTINAL COCCIDIAL INFECTIONS"	"TROPICAL INFECTIOUS DISEASES"			1999
101019256	"lACTOFERRIN AND EOSINOPHILLIC CATIONIC PROTEIN IN NASAL SECRETIONS OF PTS. WITH EXPIRIMENTAL RHINOPVIRUS COLDS, NATURAL COLDS, AND PRESUMED ACUTE COMMUNITY-ACQUIRED BASCTERIAL SINUSITIS."	"JOURNAL OF CLIN. MICROBIOL"		38(8):3100-3102	2000
101019256	"MICRONUTRIENTS AND INFECTION: INTERACTIONS AND IMPLICATIONS WITH ENTERIC AND OTHER INFECTIONS AND FUTURE PRIORITIES."	"JOURNAL OF INFECTIOUS DISEASES"		"182(SUPPL 1):S134-138"	2000
101019256	"mICRONUTRIENTS AND INFECTIONA: INTERACTIONS AND IMPLICATIONS WITH ENTERIC AND OTHER INFECTIONS AND FUTURE PRIORITIES."	"JOURNAL OF INFECTIOUS DISEASES"		"182(SUPPL 1):S97-102"	2000
101019256	"PERSISTENT DIARRHEA SIGNALS A CRITICAL PERIOD OF INCREASES DIARRHEA BURDENS AND NUTRITIONAL SHORTFALLS"	"JOURNAL OF INFECTIOUS DISEASES"		181:1643-1651	2000
